81cf33	Buenos Aires	Fuji TV MUSIC FAIR	음악방송 (해외)	Buenos Aires	Fuji TV MUSIC FAIR	2019. 7. 6.	660047198
af4d8e	Suki to Iwasetai	TBS 음악의 날	공연	TBS	음악의 날	2019. 7. 13.	656067179
c75f3f	Buenos Aires	TBS 음악의 날	공연	TBS	음악의 날	2019. 7. 13.	661086659
e6776e	Buenos Aires	NTV BUZZ RHYTHM 02	음악방송 (해외)	Buenos Aires	NTV BUZZ RHYTHM 02	2019. 7. 20.	660047341
2720b4	라비앙로즈	NTV BUZZ RHYTHM 02	음악방송 (해외)	Buenos Aires	NTV BUZZ RHYTHM 02	2019. 7. 20.	660047472
4fac34	반해버리잖아?	FNS 2019	공연	Fuji TV FNS Music Festival	2019	2019. 7. 24.	661086749
3db9f6	Highlight	MGMA 2019	공연	M2 X Genie Music Awards	2019	2019. 8. 1.	656065358
607ab6	비올레타	MGMA 2019	공연	M2 X Genie Music Awards	2019	2019. 8. 1.	661086965
f1feec	비올레타	KCON 2019 in NY Day 3	공연	KCON	2019 in NY Day 3	2019. 8. 17.	661088163
46bc35	Highlight	KCON 2019 in NY Day 3	공연	KCON	2019 in NY Day 3	2019. 8. 17.	656122412
0dc29b	라비앙로즈	KCON 2019 in NY Day 3	공연	KCON	2019 in NY Day 3	2019. 8. 17.	656122886
3aaf98	Airplane	KCON 2019 in NY Day 3	공연	KCON	2019 in NY Day 3	2019. 8. 17.	656123417
fec149	내꺼야	KCON 2019 in NY Day 3	공연	KCON	2019 in NY Day 3	2019. 8. 17.	656123780
d199f1	Suki to Iwasetai	AICHI IMPACT! 2019 K-POP FESTIVAL	공연	AICHI IMPACT!	2019 K-POP FESTIVAL	2019. 8. 31.	656124029
267052	반해버리잖아?	AICHI IMPACT! 2019 K-POP FESTIVAL	공연	AICHI IMPACT!	2019 K-POP FESTIVAL	2019. 8. 31.	656124306
7d14b5	라비앙로즈	AICHI IMPACT! 2019 K-POP FESTIVAL	공연	AICHI IMPACT!	2019 K-POP FESTIVAL	2019. 8. 31.	656124583
c6bbc1	하늘 위로	AICHI IMPACT! 2019 K-POP FESTIVAL	공연	AICHI IMPACT!	2019 K-POP FESTIVAL	2019. 8. 31.	656124826
464e4b	해바라기	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659235800
2f3aa1	O' My!	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659236024
752120	앞으로 잘 부탁해	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659236132
809511	고양이가 되고 싶어	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659236287
97f5ee	기분 좋은 안녕	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659236464
c862bd	Airplane	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659236618
e4bacd	꿈을 꾸는 동안	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659236757
0c6189	Really Like You	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659237225
d14aaf	아름다운 색	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659237073
5f1ab6	내꺼야	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659237414
c8f8cf	SO CURIOUS	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659237649
46e8ba	AYAYAYA	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659237539
5af9b9	Suki to Iwasetai	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659237989
31eef8	반해버리잖아?	EYES ON ME In JAPAN Marine Messe Fukuoka	콘서트	EYES ON ME	In JAPAN Marine Messe Fukuoka	2019. 9. 8.	659238231
